id,type,statement,status,impact
D-001,origin,"The project began by asking how to build n8n-like automation from logic and free tools already available to ordinary computer users.",confirmed,very-high
D-002,problem,"A permanent automation platform can become a runtime dependency and lock-in point.",observed,high
D-003,problem,"Repeated LLM inference creates recurring cost when deterministic work is sent to AI again and again.",observed,very-high
D-004,resource,"A personal computer already exposes files shell Python browser scheduler CPU/GPU local network and potentially local AI.",confirmed,very-high
D-005,resource,"GitHub can provide distribution versioning Actions releases collaboration and community without being the mandatory runtime.",confirmed,high
D-006,resource,"Sheets and Apps Script can provide lightweight state UI triggers and integrations.",confirmed,medium
D-007,hypothesis,"AI may be most useful for intent interpretation planning repair and semantic exceptions rather than routine execution.",active,very-high
D-008,discovery,"Generated automation can keep running without importing or calling AutoCompiler after compilation.",confirmed,very-high
D-009,hypothesis,"Colab can reduce experimentation friction but should not be assumed to be durable production infrastructure.",active,medium
D-010,hypothesis,"A planner may choose among local tools GitHub Google local AI and cloud AI according to capability cost privacy and reliability.",active,very-high
D-011,hypothesis,"Successful AI-assisted behavior could later be crystallized into deterministic recipes.",explore,high
D-012,process,"Preserving how hypotheses evolved is important because freezing the latest idea too early narrows the search space.",confirmed,very-high
D-013,discovery,"Capability is not the same as a named tool: multiple providers may satisfy one requirement and missing Git did not prevent repository acquisition through PowerShell HTTP and ZIP.",confirmed,very-high
D-014,discovery,"Capability state must distinguish detected accessible authorized and usable; real Windows evidence showed PowerShell detected while .ps1 execution was blocked by execution policy.",confirmed,very-high
D-015,discovery,"A narrow Portuguese intent can be compiled into an explicit permission and deterministic recipe that performs a real filesystem action.",confirmed,high
D-016,discovery,"A generated Python-standard-library automation copied a real file and persisted its own SQLite history on Windows with recurring AI disabled.",confirmed,very-high
D-017,discovery,"Cross-platform behavior matters at the resource-lifecycle level: Windows exposed SQLite file locking during CI cleanup that Ubuntu did not.",confirmed,high
D-018,hypothesis,"A small platform-neutral Automation IR may separate automation meaning from provider and target selection.",active,very-high
D-019,hypothesis,"The same Automation IR should be compilable to multiple targets if the compiler hypothesis is correct.",active,very-high
D-020,hypothesis,"A skill can be a reusable capability contract or a composition of other skills while providers remain concrete implementations.",active,very-high
D-021,hypothesis,"A validated automation may be crystallized into a higher-level reusable skill.",active,very-high
D-022,hypothesis,"AutoCompiler can test n8n replacement as measured functional equivalence for growing workflow classes rather than as a clone of n8n runtime or UI.",active,very-high
D-023,process,"n8n replacement claims must be tied to explicit benchmark coverage and reusable primitives rather than workflow-specific code.",confirmed,very-high
D-024,discovery,"Planning and environment mutation are separate phases: a plan can describe required changes without mutating the machine while apply is authorization-gated.",confirmed,very-high
D-025,discovery,"A missing capability can be resolved by acquiring a provider, verifying its bytes, and registering provider ownership plus the consuming automation.",confirmed,very-high
D-026,discovery,"A provisioned capability can be consumed by a generated artifact that executes without AutoCompiler runtime and without recurring AI.",confirmed,very-high
D-027,process,"Repository health now has a canonical cross-platform Trust Gate; failures must restore invariants rather than manufacture green.",confirmed,very-high
D-028,architecture,"Acquisition is a capability-gap strategy rather than a direct responsibility of a skill; provider acquisition requires provenance, verification, authorization and rollback contracts.",confirmed,very-high
D-029,hypothesis,"The strongest current product thesis is that AutoCompiler transforms an intention into installed computational capability while preferring reuse and minimum environment mutation.",active,very-high
D-030,discovery,"A pinned external standalone provider can be acquired over HTTPS, verified by SHA-256 and executable identity, registered as AutoCompiler-owned, consumed by an independent artifact, and removed without administrator privileges.",confirmed,very-high
D-031,discovery,"Provider rollback must respect ownership and consumers: AutoCompiler may remove an AutoCompiler-owned provider only when the relevant consumer relationship permits it.",confirmed,very-high
