"secao","id","ordem","nome","gatilho_ou_pergunta","condicao","acao_ou_conhecimento","mensagem_cliente","proximo_sucesso","proximo_alternativo","referencias","tipo_item","preco_brl","status_preco","prazo","status","observacoes"
"configuracao","CFG-001","1","Modo de operação","Inicialização","Sempre","Iniciar em demonstração. Catálogo proposto, preços e prazos pendentes. Não gerar cobrança real.","Este é um atendimento demonstrativo. Posso ajudar a montar sua solução e encaminhar um orçamento para avaliação.","","","","","","","","proposta_para_revisao",""
"configuracao","CFG-002","2","Convenções do arquivo","Importação","Sempre","CSV UTF-8 com BOM, separado por vírgula. Referências múltiplas separadas por |. Próximas etapas são IDs. Condições são especificações em português e precisam ser implementadas. Campo vazio de preço significa desconhecido, nunca gratuito.","","","","","","","","","proposta_para_revisao",""
"configuracao","CFG-003","3","Variáveis de mensagem","Antes de responder","Mensagem contém chaves","Substituir {nome}, {resumo}, {total}, {prazo}, {pedido_id}, {status_pedido}, {link_pagamento} e {opcoes} apenas por dados validados. Nunca enviar variável sem resolução.","","","","","","","","","proposta_para_revisao",""
"configuracao","CFG-004","4","Aprovação comercial","Antes de produção","Responsável revisou ofertas","Preencher preços numéricos em BRL, prazo, escopo e status de cada oferta. Aprovar catálogo, política comercial e canal antes de habilitar contratação.","","","","","","","","","proposta_para_revisao",""
"sequencia","AT-001","10","Boas-vindas","Primeira mensagem","Sem atendimento ativo","Apresentar atendimento e oferecer caminhos.","Olá! Sou o assistente virtual do Dudu. Posso ajudar com sites, automação de WhatsApp e tarefas da empresa. Você quer conhecer os serviços, montar uma solução ou falar com o Dudu?","AT-002","AT-090","CFG-001","","","","","proposta_para_revisao",""
"sequencia","AT-002","20","Entender necessidade","Cliente escolheu conhecer ou montar","Intenção comercial identificada","Perguntar objetivo principal e segmento, uma pergunta por vez.","O que você gostaria de melhorar no seu negócio: presença na internet, atendimento ou alguma tarefa repetitiva?","AT-003","AT-091","","","","","","proposta_para_revisao",""
"sequencia","AT-003","30","Conhecer estrutura existente","Objetivo informado","Dados ainda não coletados","Coletar recursos existentes e reaproveitáveis. Não pedir credenciais.","Você já tem site, domínio ou algum sistema que gostaria de aproveitar?","AT-004","AT-090","REG-003","","","","","proposta_para_revisao",""
"sequencia","AT-004","40","Sugerir serviço","Objetivo e recursos coletados","Oferta compatível encontrada","Consultar catálogo e apresentar opções pertinentes, sem declarar capacidade já instalada.","Pelo que você contou, estas opções podem ajudar: {opcoes}. Qual você quer conhecer melhor?","AT-005","AT-090","CAT-001|CAT-002|CAT-003|CAT-004|CAT-005","","","","","proposta_para_revisao",""
"sequencia","AT-005","50","Explicar componentes essenciais","Serviço escolhido","Escopo base disponível","Mostrar componentes obrigatórios e verificar quais o cliente já possui.","Essa solução precisa de uma estrutura básica para funcionar. Vou mostrar o que está incluído e o que podemos aproveitar do que você já tem.","AT-006","AT-090","REG-002|REG-003","","","","","proposta_para_revisao",""
"sequencia","AT-006","60","Escolher extras","Base definida","Cliente recebeu opções","Apresentar apenas extras compatíveis. Permitir nenhum extra.","Quer acrescentar alguma destas opções: {opcoes}? Também podemos seguir somente com a base.","AT-007","AT-091","REG-004|REG-005","","","","","proposta_para_revisao",""
"sequencia","AT-007","70","Validar montagem","Escolhas recebidas","Todas as dependências satisfeitas","Verificar obrigatórios, condicionais, incompatibilidades e duplicações.","Vou conferir se todos os componentes escolhidos funcionam juntos.","AT-008","AT-006","REG-002|REG-004|REG-005|REG-006","","","","","proposta_para_revisao",""
"sequencia","AT-008","80","Calcular ou solicitar orçamento","Configuração válida","Todos os preços e condições aprovados","Calcular total por código. Separar implantação, recorrências e terceiros. Em demonstração ou preço pendente, encaminhar orçamento sem cobrança.","A configuração ficou assim: {resumo}.","AT-009","AT-080","REG-001|REG-007|CFG-001","","","","","proposta_para_revisao",""
"sequencia","AT-009","90","Revisar proposta","Proposta calculada","Preço, prazo e escopo aprovados","Exibir itens, valores, recorrências, prazo e exclusões. Pedir aceite explícito.","Sua proposta: {resumo}. Total de implantação: {total}. Prazo combinado: {prazo}. Você confirma ou quer alterar algum item?","AT-010","AT-006","REG-007","","","","","proposta_para_revisao",""
"sequencia","AT-010","100","Registrar pedido","Cliente confirmou proposta","Aceite explícito e dados mínimos disponíveis","Coletar nome se necessário. Registrar ID único, versão da proposta e aceite. Não registrar como pago.","Como posso chamar você? Vou registrar a solicitação com a configuração aprovada.","AT-011","AT-090","REG-008","","","","","proposta_para_revisao",""
"sequencia","AT-011","110","Disponibilizar pagamento","Pedido registrado","Modo produção e integração de pagamento habilitada","Criar cobrança vinculada ao pedido no servidor. Em demonstração ou integração ausente, encaminhar para humano.","Seu pedido é {pedido_id}. Se quiser prosseguir, utilize este link de pagamento: {link_pagamento}.","AT-012","AT-090","REG-009|CFG-001","","","","","proposta_para_revisao",""
"sequencia","AT-012","120","Aguardar confirmação","Cliente pagou ou enviou comprovante","Provedor confirmou transação, pedido, valor e moeda","Confirmar pagamento apenas após verificação no servidor. Caso pendente, permanecer nesta etapa.","Assim que o pagamento for confirmado pelo sistema, atualizo o status do seu pedido.","AT-013","AT-012","REG-009|REG-010","","","","","proposta_para_revisao",""
"sequencia","AT-013","130","Coletar briefing","Pagamento confirmado ou início aprovado pelo responsável","Pedido autorizado para execução","Solicitar materiais necessários e definir próximos passos conforme escopo.","Pedido {pedido_id} confirmado. Vamos reunir os materiais necessários para começar.","AT-014","AT-090","","","","","","proposta_para_revisao",""
"sequencia","AT-014","140","Acompanhar serviço","Cliente pergunta pelo andamento","Identidade e vínculo com pedido verificados","Consultar registro real. Nunca inventar progresso ou prazo.","O status do pedido {pedido_id} é: {status_pedido}.","AT-099","AT-090","REG-011","","","","","proposta_para_revisao",""
"sequencia","AT-080","150","Orçamento sob avaliação","Preço, prazo ou escopo pendente","Configuração coletada","Registrar solicitação sem cobrança e encaminhar resumo para avaliação humana.","Montei sua solicitação: {resumo}. O Dudu precisa confirmar o valor e o prazo antes da contratação.","AT-090","AT-090","","","","","","proposta_para_revisao",""
"sequencia","AT-090","160","Atendimento humano","Pedido de pessoa ou decisão fora das regras","Em qualquer etapa","Marcar atendimento_humano_pendente e pausar respostas comerciais automáticas. Confirmar encaminhamento somente após registro bem-sucedido. Retomar apenas por liberação humana.","Certo. Vou solicitar o atendimento do Dudu e levar o resumo do que conversamos.","AT-099","AT-090","REG-012","","","","","proposta_para_revisao",""
